timestamp,x,y,z
2024-08-28T13:23:03.835255,0.37,-0.49,-0.79
2024-08-28T13:23:04.061721,-0.31,-0.49,-0.85
2024-08-28T13:23:04.285630,-0.12,-0.43,-0.92
2024-08-28T13:23:04.516757,-0.06,-0.49,-0.85
2024-08-28T13:23:04.747324,0.18,-0.49,-0.85
2024-08-28T13:23:04.992944,-0.12,-0.37,-0.92
2024-08-28T13:23:05.227939,-0.37,-0.31,-0.92
2024-08-28T13:23:05.474919,-0.18,-0.43,-0.79
2024-08-28T13:23:05.699604,-0.18,-0.49,-0.73
2024-08-28T13:23:05.938590,-0.18,-0.61,-0.73
2024-08-28T13:23:06.209313,-0.18,-0.61,-0.79
2024-08-28T13:23:06.433096,-0.43,-0.55,-0.92
2024-08-28T13:23:06.681361,-0.37,-0.49,-1.04
2024-08-28T13:23:06.910265,-0.55,-0.55,-0.98
2024-08-28T13:23:07.505916,-0.37,-0.55,-0.98
2024-08-28T13:23:07.727909,-0.73,-0.61,-1.04
2024-08-28T13:23:07.943385,-0.49,-0.61,-0.98
2024-08-28T13:23:08.160495,-0.18,-0.67,-0.92
2024-08-28T13:23:08.416555,-0.61,-0.79,-0.92
2024-08-28T13:23:08.643949,-0.37,-0.67,-0.92
2024-08-28T13:23:08.874742,-0.61,-0.73,-0.92
2024-08-28T13:23:09.098452,-0.43,-0.67,-0.85
2024-08-28T13:23:09.318290,-0.61,-0.43,-0.92
2024-08-28T13:23:09.550572,-0.67,-0.49,-1.04
2024-08-28T13:23:09.781587,-0.85,-0.55,-1.04
2024-08-28T13:23:10.011807,-0.67,-0.79,-0.92
2024-08-28T13:23:10.239580,-0.73,-0.79,-0.92
2024-08-28T13:23:10.481524,-0.49,-0.67,-0.85
2024-08-28T13:23:10.699026,-0.49,-0.67,-0.92
2024-08-28T13:23:10.943042,-0.55,-0.55,-0.98
2024-08-28T13:23:11.181273,-0.73,-0.55,-1.1
2024-08-28T13:23:12.420742,-0.61,-0.55,-1.04
2024-08-28T13:23:12.659522,-0.49,-0.67,-0.92
2024-08-28T13:23:12.883144,-0.55,-0.73,-0.85
2024-08-28T13:23:13.116080,-0.55,-0.55,-0.85
2024-08-28T13:23:13.352717,-0.55,-0.49,-0.85
2024-08-28T13:23:13.576512,-0.67,-0.55,-0.92
2024-08-28T13:23:13.810953,-0.37,-0.67,-0.85
2024-08-28T13:23:14.047835,-0.43,-0.61,-0.92
2024-08-28T13:23:14.309472,-0.43,-0.55,-0.92
2024-08-28T13:23:14.543748,-0.79,-0.61,-0.98
2024-08-28T13:23:14.782419,-0.61,-0.61,-0.92
2024-08-28T13:23:15.279259,-0.37,-0.55,-0.92
2024-08-28T13:23:15.511549,-0.49,-0.61,-0.92
